########## FILE: 附件1 ##########
==== SHEET: Case1 (dims A1:D53) ====
Point_ID | X_Coordinate | Y_Coordinate | Inspection_Level
1 | 565 | 575 | II
2 | 25 | 185 | III
3 | 345 | 750 | III
4 | 945 | 685 | II
5 | 845 | 655 | III
6 | 880 | 660 | III
7 | 25 | 230 | II
8 | 525 | 1000 | III
9 | 580 | 1175 | III
10 | 650 | 1130 | III
11 | 1605 | 620 | III
12 | 1220 | 580 | III
13 | 1465 | 200 | III
14 | 1530 | 5 | III
15 | 845 | 680 | I
16 | 725 | 370 | III
17 | 145 | 665 | III
18 | 415 | 635 | III
19 | 510 | 875 | III
20 | 560 | 365 | III
21 | 300 | 465 | I
22 | 520 | 585 | II
23 | 480 | 415 | II
24 | 835 | 625 | III
25 | 975 | 580 | III
26 | 1215 | 245 | III
27 | 1320 | 315 | II
28 | 1250 | 400 | I
29 | 660 | 180 | III
30 | 410 | 250 | III
31 | 420 | 555 | III
32 | 575 | 665 | III
33 | 1150 | 1160 | III
34 | 700 | 580 | III
35 | 685 | 595 | III
36 | 685 | 610 | III
37 | 770 | 610 | III
38 | 795 | 645 | III
39 | 720 | 635 | II
40 | 760 | 650 | III
41 | 475 | 960 | III
42 | 95 | 260 | III
43 | 875 | 920 | I
44 | 700 | 500 | III
45 | 555 | 815 | II
46 | 830 | 485 | II
47 | 1170 | 65 | III
48 | 830 | 610 | III
49 | 605 | 625 | III
50 | 595 | 360 | I
51 | 1340 | 725 | II
52 | 1740 | 245 | III
==== SHEET: Case2 (dims A1:D100) ====
Point_ID | X_Coordinate | Y_Coordinate | Inspection_Level
1 | 6 | 4 | I
2 | 15 | 15 | III
3 | 24 | 18 | I
4 | 33 | 12 | III
5 | 48 | 12 | III
6 | 57 | 14 | III
7 | 67 | 10 | III
8 | 77 | 10 | III
9 | 86 | 15 | III
10 | 6 | 21 | III
11 | 17 | 26 | III
12 | 23 | 25 | I
13 | 32 | 35 | III
14 | 43 | 23 | III
15 | 55 | 35 | II
16 | 65 | 36 | III
17 | 78 | 39 | II
18 | 87 | 35 | III
19 | 3 | 53 | III
20 | 12 | 44 | III
21 | 28 | 53 | III
22 | 33 | 49 | III
23 | 47 | 46 | II
24 | 55 | 52 | III
25 | 64 | 50 | I
26 | 71 | 57 | II
27 | 87 | 57 | III
28 | 4 | 72 | III
29 | 15 | 78 | II
30 | 22 | 70 | III
31 | 34 | 71 | III
32 | 42 | 79 | III
33 | 54 | 77 | II
34 | 66 | 79 | II
35 | 78 | 67 | II
36 | 87 | 73 | III
37 | 7 | 81 | III
38 | 17 | 95 | I
39 | 26 | 98 | III
40 | 32 | 97 | III
41 | 43 | 88 | III
42 | 57 | 89 | I
43 | 64 | 85 | III
44 | 78 | 83 | III
45 | 83 | 98 | III
46 | 5 | 109 | III
47 | 13 | 111 | III
48 | 25 | 102 | II
49 | 38 | 119 | III
50 | 46 | 107 | II
51 | 58 | 110 | III
52 | 67 | 110 | III
53 | 74 | 113 | II
54 | 88 | 110 | III
55 | 2 | 124 | III
56 | 17 | 134 | III
57 | 23 | 129 | III
58 | 36 | 131 | III
59 | 42 | 137 | III
60 | 53 | 123 | III
61 | 63 | 135 | III
62 | 72 | 134 | III
63 | 87 | 129 | III
64 | 2 | 146 | I
65 | 16 | 147 | III
66 | 25 | 153 | I
67 | 38 | 155 | III
68 | 42 | 158 | III
69 | 57 | 154 | III
70 | 66 | 151 | III
71 | 73 | 151 | I
72 | 86 | 149 | III
73 | 5 | 177 | III
74 | 13 | 162 | III
75 | 25 | 169 | II
76 | 35 | 177 | II
77 | 46 | 172 | III
78 | 54 | 166 | III
79 | 65 | 174 | II
80 | 73 | 161 | III
81 | 86 | 162 | III
82 | 2 | 195 | III
83 | 14 | 196 | III
84 | 28 | 189 | III
85 | 38 | 187 | III
86 | 46 | 195 | II
87 | 57 | 194 | II
88 | 63 | 188 | II
89 | 77 | 193 | III
90 | 85 | 194 | II
91 | 8 | 211 | II
92 | 12 | 217 | I
93 | 22 | 210 | III
94 | 34 | 216 | II
95 | 47 | 203 | III
96 | 58 | 213 | III
97 | 66 | 206 | III
98 | 78 | 210 | III
99 | 85 | 204 | III
==== SHEET: Case3 (dims A1:D101) ====
Point_ID | X_Coordinate | Y_Coordinate | Inspection_Level
1 | 143.775 | 862.63 | II
2 | 881.78 | 1.18319 | III
3 | 545.244 | 735.005 | II
4 | 502.813 | 876.001 | III
5 | 204.876 | 345.225 | III
6 | 701.637 | 576.987 | III
7 | 147.167 | 164.286 | III
8 | 135.382 | 807.91 | III
9 | 628.999 | 976.971 | II
10 | 674.999 | 731.447 | II
11 | 313.696 | 299.126 | II
12 | 445.689 | 981.97 | III
13 | 354.793 | 765.215 | III
14 | 398.129 | 976.034 | III
15 | 273.041 | 853.944 | III
16 | 666.295 | 312.27 | III
17 | 876.942 | 925.39 | II
18 | 134.026 | 949.816 | III
19 | 966.825 | 726.799 | III
20 | 659.346 | 889.08 | III
21 | 400.34 | 874.489 | III
22 | 118.041 | 312.04 | III
23 | 809.87 | 50.8555 | II
24 | 16.2821 | 114.161 | III
25 | 12.6192 | 48.2407 | III
26 | 650.039 | 940.261 | III
27 | 791.189 | 758.951 | III
28 | 907.194 | 612.605 | III
29 | 510.857 | 25.8629 | II
